kind,ecg_id,rank,jitter,min_eigenvalue,eigenvalue_tolerance,factor_residual
bandpass,193,8,0.0,-5.095820795896024e-18,6.8071061522981e-15,2.5021988327824475e-17
bandpass,195,8,0.0,-9.789296273830614e-19,4.454192196110151e-15,1.8799689027273224e-17
bandpass,204,8,0.0,-7.048813375031762e-18,5.965403737022157e-15,2.8900031710822033e-17
bandpass,205,8,0.0,-3.6181031879733365e-18,1.7199144095687893e-15,1.724882974317005e-17
bandpass,216,8,0.0,-1.4169020408809258e-18,4.2339880662751135e-15,1.9292455700655804e-17
bandpass,219,8,0.0,-1.175845771768038e-18,4.865802718197856e-15,2.6011921027764382e-17
bandpass,223,8,0.0,-1.0935184764944339e-17,1.3673350531519658e-14,1.0180259377510057e-16
bandpass,228,8,0.0,-1.545654168977619e-18,2.194173029157597e-15,1.1746175278657984e-17
bandpass,233,8,0.0,-5.052757578656804e-20,4.852513440073781e-15,2.26123302597108e-17
bandpass,234,8,0.0,-5.559968245144899e-18,6.841592460160134e-15,2.8410826735578876e-17
bandpass,238,8,0.0,-3.4721196800885776e-18,3.4416996795220666e-15,1.2058151588467232e-17
bandpass,262,8,0.0,-1.866314238639787e-18,1.7445242898447043e-15,8.01318990551395e-18
bandpass,266,8,0.0,-2.632073231928452e-18,6.358243713681079e-15,2.1520993070338755e-17
bandpass,281,8,0.0,-4.839464069280286e-18,6.929503508443815e-15,6.614497118362234e-17
bandpass,287,8,0.0,-3.197511547855377e-18,6.4301300809473015e-15,2.2770008472783613e-17
bandpass,293,8,0.0,-2.8646786323384006e-18,5.37945754004668e-15,1.9733349859485775e-17
bandpass,295,8,0.0,-2.8934001884931375e-18,2.227079314957097e-15,5.56382234313285e-18
bandpass,303,8,0.0,-3.0975009780310144e-18,2.7483013510770277e-15,9.469727205846599e-18
bandpass,326,8,0.0,-1.262042466297056e-18,2.835484869524813e-15,5.7477600713792e-18
bandpass,343,8,0.0,-6.7310875875152045e-18,9.664757511400321e-15,3.985396527325917e-17
bandpass,352,8,0.0,-5.7492006479833116e-18,6.706586535935553e-15,2.733226651571251e-17
bandpass,360,8,0.0,-6.245777293906623e-18,6.420411839169872e-15,4.091312244475854e-17
bandpass,365,8,0.0,-4.252385735049565e-18,7.0900806643944815e-15,2.912161308909374e-17
bandpass,368,8,0.0,-4.148182092322243e-18,4.1843160028285216e-15,1.0954125999452215e-17
bandpass,383,8,0.0,-4.091143572534854e-18,5.1272763855911075e-15,3.112776141958209e-17
bandpass,386,8,0.0,-1.4178309977781973e-18,1.4974672767187e-14,5.83199074773464e-17
bandpass,387,8,0.0,-4.156670083083367e-18,4.8273643664424515e-15,2.085723492358965e-17
bandpass,398,8,0.0,-5.163524905262058e-18,4.1220871909055504e-15,1.8884379422265823e-17
bandpass,406,8,0.0,-5.8946709367013336e-18,4.349964930707999e-15,2.0466155975811373e-17
bandpass,414,8,0.0,-5.324784381352606e-18,8.785520483483838e-15,3.367554742012122e-17
bandpass,419,8,0.0,-2.4958678240181376e-18,4.846050016987269e-15,2.748176868365007e-17
bandpass,425,8,0.0,-2.468056693814238e-17,1.8687766470088185e-14,5.672964114586093e-17
bandpass,437,8,0.0,-1.962408051802067e-18,4.717982252179741e-15,1.6775998330557715e-17
bandpass,441,8,0.0,-3.3845116292175423e-18,3.2458431329821006e-15,1.303348531147937e-17
bandpass,445,8,0.0,-3.796975985294585e-18,5.753277333575336e-15,2.656419741819993e-17
bandpass,483,8,0.0,-1.2824107525086354e-18,4.2269382785329265e-15,9.733004417540523e-18
bandpass,491,8,0.0,-2.182005837918073e-18,4.483785526378468e-15,1.3798917216670109e-17
bandpass,515,8,0.0,-1.5369165080903619e-18,1.5276407554169475e-15,4.821813523982588e-18
bandpass,520,8,0.0,-3.476237207824837e-18,4.721001797956508e-15,1.7555964531978024e-17
bandpass,524,8,0.0,-9.1312303819957e-18,1.433094939800776e-14,6.059244030362877e-17
bandpass,529,8,0.0,-4.8967149012637485e-18,4.3177188362803186e-15,1.810561727609896e-17
bandpass,537,8,0.0,-5.348872094324447e-18,8.223885292927718e-15,4.544395832939627e-17
bandpass,544,8,0.0,-1.483033866180076e-17,5.132173035911109e-14,2.303557117133162e-16
bandpass,545,8,0.0,-1.7397329321750345e-17,2.059380941662951e-14,1.1686442788676354e-16
bandpass,553,8,0.0,-3.1228947995227883e-18,3.2227551074997137e-15,1.5408720139775613e-17
bandpass,554,8,0.0,-6.131195208076511e-18,7.408530629038698e-15,2.8376625109948446e-17
bandpass,558,8,0.0,-5.362644520892289e-18,1.202522475030633e-14,5.518903399732936e-17
bandpass,563,8,0.0,-8.32255723262349e-18,7.57430880169494e-15,3.514187809251661e-17
bandpass,574,8,0.0,-4.4152506441390385e-18,3.567014273667653e-15,1.2137358107374545e-17
bandpass,601,8,0.0,-3.218032530492421e-17,4.055231558971732e-14,1.9234811938411707e-16
bandpass,612,8,0.0,-3.744581193623363e-18,2.9005848497315903e-15,1.1210619470903679e-17
bandpass,615,8,0.0,-3.789838715061095e-18,4.426735977075151e-15,2.5035018762700953e-17
bandpass,627,8,0.0,-3.215944312883639e-18,4.035702657275216e-15,2.7065051654282505e-17
bandpass,662,8,0.0,-3.379173169429265e-18,5.156822270175845e-15,3.1363977833016576e-17
bandpass,673,8,0.0,-8.635368493021071e-19,2.134052030552934e-15,6.4910549504937486e-18
bandpass,705,8,0.0,-4.4658746603489486e-18,4.336403142630581e-15,2.867251565233581e-17
bandpass,716,8,0.0,-2.7898125890569235e-18,4.174705422936437e-15,3.1534458145019104e-17
bandpass,717,8,0.0,-1.1767726343677555e-17,6.3066851893792146e-15,3.106610250116519e-17
bandpass,722,8,0.0,-3.636050150094085e-18,3.854887813040082e-15,1.7863153314003448e-17
bandpass,728,8,0.0,-7.208696358455965e-18,3.53279966644945e-15,2.0372650537359987e-17
bandpass,748,8,0.0,-2.0650231160860854e-18,3.628581410268918e-15,1.67475648291455e-17
bandpass,771,8,0.0,-2.5587920804209865e-18,2.7681076940237246e-15,9.566878783970093e-18
bandpass,772,8,0.0,-1.9881404006178723e-18,3.0410402058352666e-15,1.19308700037307e-17
bandpass,776,8,0.0,-1.8696000535493004e-18,3.682911980190184e-15,3.3865448166480533e-17
bandpass,792,8,0.0,-1.5064124926571953e-18,4.08219887200268e-15,2.36565804265129e-17
bandpass,796,8,0.0,-6.526482379437676e-18,1.0804041420733874e-14,3.953266189631676e-17
bandpass,798,8,0.0,-2.1246794612716163e-17,1.9024259060661284e-14,4.979802844809049e-17
bandpass,800,8,0.0,-8.84443816583202e-19,1.7771006331339932e-15,7.408024452918273e-18
bandpass,814,8,0.0,-9.387359355252672e-18,1.493387865008338e-14,9.858697866226082e-17
bandpass,818,8,0.0,-5.5270200733791375e-18,6.605997305313965e-15,3.4396642738187086e-17
bandpass,823,8,0.0,-3.309212590649223e-18,3.630070204515636e-15,1.5761680907112257e-17
bandpass,839,8,0.0,-4.529674767390214e-18,5.69459200779885e-15,2.5078185018465815e-17
bandpass,843,8,0.0,-3.1956178409902782e-18,1.8703428576548927e-15,7.035346950034142e-18
bandpass,849,8,0.0,-1.3683640301585728e-17,2.2005709734319525e-14,5.935376034014665e-17
bandpass,856,8,0.0,-4.502707408123806e-18,5.2222530535793635e-15,3.4764172186391864e-17
bandpass,866,8,0.0,-3.0455454359389184e-18,4.495556225093522e-15,2.1477442305853607e-17
bandpass,881,8,0.0,5.035866461147654e-19,3.9066718168706516e-15,2.15990847611038e-17
bandpass,885,8,0.0,1.9489424154038063e-19,3.585206454639391e-15,4.0701321873345984e-17
bandpass,889,8,0.0,-3.2841184605577443e-18,5.646475191216916e-15,4.380388153242278e-17
bandpass,901,8,0.0,-1.4041315949939557e-18,2.4610468032453653e-15,1.9819968720615474e-17
bandpass,902,8,0.0,-1.9498577560175517e-18,4.7609995785193435e-15,1.6848492483239306e-17
bandpass,904,8,0.0,-3.663884034381896e-18,5.181740053661642e-15,3.1500259924228446e-17
bandpass,913,8,0.0,-3.636911585009402e-18,3.253484788576215e-15,1.3650745254027623e-17
bandpass,925,8,0.0,-7.708986998928243e-18,7.422669148251462e-15,3.710152641203038e-17
bandpass,927,8,0.0,-3.3928352222872296e-18,3.4992046017053206e-15,2.0926671678885247e-17
bandpass,946,8,0.0,-1.2783115894052522e-17,1.6544853455867506e-14,7.283304962256139e-17
bandpass,954,8,0.0,-2.9486745294343946e-18,8.265431048628082e-15,4.7955225066015514e-17
bandpass,966,8,0.0,-5.2564523477232495e-18,6.229706325019136e-15,1.5934025796379123e-17
bandpass,987,8,0.0,-7.034461160030105e-18,1.0197816703417054e-14,4.9132021799355446e-17
bandpass,999,8,0.0,-4.488144716077228e-18,4.515310669466592e-15,1.540778779546226e-17
bandpass,1007,8,0.0,-1.9337152722146708e-18,2.80966576343265e-15,1.7655528623102692e-17
bandpass,1008,8,0.0,-4.2784193901998544e-20,2.2903065690019846e-15,7.210116001002784e-18
bandpass,1026,8,0.0,-4.16890237762982e-18,4.2064386615534076e-15,1.5430128214164415e-17
bandpass,1030,8,0.0,-9.166736520796408e-20,2.4142848465830547e-15,1.3507066799849857e-17
bandpass,1098,8,0.0,-4.026127853836475e-18,3.775519289584763e-15,2.423202233916317e-17
bandpass,1103,8,0.0,-4.033443389038304e-18,1.0609417605473884e-14,2.77957108112977e-17
bandpass,1109,8,0.0,-3.3684715913225084e-18,8.239909380325932e-15,4.235778594159386e-17
bandpass,1119,8,0.0,-5.3224429390579876e-18,5.1955937769888136e-15,2.629699715787559e-17
bandpass,1123,8,0.0,-1.506094321645911e-18,1.8004350565265565e-15,5.589899998007242e-18
bandpass,1139,8,0.0,-3.854163269208827e-18,5.0571310851865585e-15,2.666131001554864e-17
