kind,condition,low_hz,high_hz,mean_psd,integrated_power
ma,independent,0.5,5.0,0.00010824400138733662,0.00046511094346121207
ma,independent,5.0,15.0,1.0441500172576104e-05,0.00010604648612772605
ma,independent,15.0,40.0,2.3812426184914215e-05,0.0005953106546228553
ma,independent,40.0,50.0,9.986758237342603e-06,9.752693591154886e-05
ma,independent_rms,0.0,0.5,0.0010686796758248016,0.0008349059967381262
ma,independent_rms,0.5,5.0,0.0001073917055659283,0.0004614487348535982
ma,independent_rms,5.0,15.0,1.6155568004061615e-05,0.00016407998754125076
ma,independent_rms,15.0,40.0,3.767165671031238e-05,0.0009417914177578094
ma,independent_rms,40.0,50.0,1.5933350889362554e-05,0.00015559912977893117
ma,electrode,0.0,0.5,0.001048608695219498,0.0008192255431402328
ma,electrode,0.5,5.0,9.986072995160335e-05,0.00042908907401079566
ma,electrode,5.0,15.0,1.0971759822358098e-05,0.00011143193569582444
ma,electrode,15.0,40.0,2.698796210312789e-05,0.0006746990525781973
ma,electrode,40.0,50.0,1.0370325667639715e-05,0.0001012727115980441
ma,covariance,0.0,0.5,0.0013875811634102189,0.0010840477839142335
ma,covariance,0.5,5.0,0.00012918976874692472,0.0005551122875844421
ma,covariance,5.0,15.0,9.338750077307151e-06,9.484668047265077e-05
ma,covariance,15.0,40.0,2.1099719270796253e-05,0.0005274929817699063
ma,covariance,40.0,50.0,8.732492322400694e-06,8.527824533594427e-05
em,independent,0.0,0.5,0.0007141149501334321,0.0005579023047917438
em,independent,0.5,5.0,0.0005455184592422655,0.0023440246295566096
em,independent,5.0,15.0,3.962551650385107e-05,0.0004024466519922374
em,independent,15.0,40.0,1.3018117608086641e-06,3.25452940202166e-05
em,independent,40.0,50.0,2.0662666121001965e-07,2.0178384883790983e-06
em,independent_rms,0.0,0.5,0.000913525545559626,0.0007136918324684578
em,independent_rms,0.5,5.0,0.00038761159864920887,0.0016655185879458194
em,independent_rms,5.0,15.0,3.258234510615388e-05,0.0003309144424843754
em,independent_rms,15.0,40.0,1.93457600609691e-06,4.8364400152422746e-05
em,independent_rms,40.0,50.0,3.993407138208276e-07,3.89981165840652e-06
em,electrode,0.0,0.5,0.0008092906213219603,0.0006322582979077815
em,electrode,0.5,5.0,0.0005132226350053988,0.002205253509788823
em,electrode,5.0,15.0,3.812339621696371e-05,0.0003871907428285377
em,electrode,15.0,40.0,1.273514625374093e-06,3.1837865634352325e-05
em,electrode,40.0,50.0,2.0325847253714838e-07,1.9849460208705897e-06
em,covariance,0.0,0.5,0.0007346851360050092,0.0005739727625039135
em,covariance,0.5,5.0,0.0005470373187319279,0.002350550978926253
em,covariance,5.0,15.0,3.831363114875623e-05,0.00038912281635455545
em,covariance,15.0,40.0,1.27445200097841e-06,3.186130002446025e-05
em,covariance,40.0,50.0,1.9393952114075343e-07,1.8939406361401704e-06
