condition,mode,snr_db,noise_seed,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd
E,,0,404,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,404,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.627893466790326e-16,5.2404186541064e-16,5.703311679086769e-16,6.102713816576672e-16,6.571097688213309e-16,7.496764992960772e-16,8.94204828755989e-16,6.190717353857653e-16,6.872567631625119e-17
E,,0,505,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1708685787626624e-05,-1.3313274124864983e-05,-7.5623575033314265e-06,-5.203505653755454e-06,-3.394388397168219e-06,-1.3519281840900454e-06,-9.924787328236077e-08,-5.933412586453806e-06,3.863589123495851e-06
E,,0,505,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313992626e-05,-7.558975571244441e-06,-5.20011927589762e-06,-3.3961333953701933e-06,-1.3439958194776897e-06,-1.0837244799367052e-07,-5.933388757774251e-06,3.863623032329453e-06
E,,0,505,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.6921018408458172e-08,-9.004155725400211e-09,-3.670590515561751e-09,-2.6738389828864555e-12,3.5721112219203002e-09,8.721470608134882e-09,1.680748035571419e-08,-2.3837506933185695e-11,5.4112182349174945e-09
E,,0,505,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,505,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.6585870718519675e-16,5.215800275405825e-16,5.700838208882596e-16,6.110804474344107e-16,6.581973853628882e-16,7.452251379004997e-16,9.672573704302628e-16,6.189962406363235e-16,6.943904380661122e-17
E,,0,8128,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170426427571086e-05,-1.3305889058721947e-05,-7.5604236632163666e-06,-5.203689050250437e-06,-3.3948968483835584e-06,-1.343471715944184e-06,-1.1653370440033611e-07,-5.933592127696753e-06,3.863792540755431e-06
E,,0,8128,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313582785e-05,-7.558975570882818e-06,-5.200119276138702e-06,-3.39613339500857e-06,-1.3439958189955257e-06,-1.0837244799367052e-07,-5.933388757782072e-06,3.8636230323279765e-06
E,,0,8128,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.863354875893458e-08,-9.359470064580011e-09,-3.6974957340651257e-09,-1.7314258580442787e-10,3.4266737643505878e-09,8.463864122972131e-09,1.8147458688488388e-08,-2.0337884407801224e-10,5.4143097724629085e-09
E,,0,8128,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,8128,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.524859606422407e-16,5.218270888132501e-16,5.697184017681971e-16,6.081998285756236e-16,6.579882050273478e-16,7.469858512664667e-16,9.221570854893175e-16,6.184417593330739e-16,6.950330234298348e-17
E,,5,101,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999948186528066,4.9999865959234215,4.999992332860671,4.9999946883636355,4.999996498904571,4.999998541778671,4.999999780596444,4.999993954695469,3.863644125379873e-06
E,,5,101,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.330594931199164e-05,-7.558975568471995e-06,-5.200119274451126e-06,-3.3961333935620774e-06,-1.343995818031198e-06,-1.0837244702934303e-07,-5.933388755635568e-06,3.863623032192581e-06
E,,5,101,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.9999998640767815,4.999999876277706,4.999999883148204,4.999999887975265,4.9999998932539995,4.999999899682439,4.999999911311842,4.999999888084223,7.142313263720538e-09
E,,5,101,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,101,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.0308350170569195e-16,8.54916524524193e-16,9.667969120955402e-16,1.081782162611083e-15,1.21921089729336e-15,1.47149817310901e-15,1.9608586040068627e-15,1.1116434419117157e-15,1.9508499780460636e-16
E,,5,202,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999948185882589,4.999986586497904,4.999992338905984,4.999994687311235,4.999996499916987,4.999998543449253,4.999999783532535,4.999993954503427,3.86363881340744e-06
E,,5,202,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.3305949312329155e-05,-7.558975568110372e-06,-5.2001192742100445e-06,-3.3961333935620774e-06,-1.343995818031198e-06,-1.0837244654717928e-07,-5.933388755636908e-06,3.863623032199795e-06
E,,5,202,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999999861600957,4.999999876505454,4.999999883348075,4.9999998878027085,4.999999892373449,4.999999899933013,4.999999912247134,4.999999887892182,7.071605022073272e-09
E,,5,202,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,202,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.221115599086647e-16,8.515403106438559e-16,9.760103892934293e-16,1.0846346487145663e-15,1.2196285985915781e-15,1.4683106779515624e-15,1.978496884136974e-15,1.1113510989197855e-15,1.9176518155127893e-16
E,,5,303,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999948177486246,4.9999865901472305,4.999992328714716,4.999994688425478,4.999996491783129,4.9999985438743995,4.999999788948878,4.999993954808875,3.863591013983567e-06
E,,5,303,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.330594931199164e-05,-7.558975568471995e-06,-5.2001192742100445e-06,-3.3961333935620774e-06,-1.343995818031198e-06,-1.0837244654717928e-07,-5.933388755637579e-06,3.863623032200523e-06
E,,5,303,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.9999998635151535,4.999999876042217,4.999999883478277,4.999999888365792,4.9999998933127365,4.99999989971069,4.999999911165163,4.99999988819763,7.199582592675835e-09
E,,5,303,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,303,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.087521760605618e-16,8.495591359340384e-16,9.771398374566016e-16,1.0786277267229471e-15,1.2133454252140745e-15,1.4663830930539661e-15,1.911629486429608e-15,1.1113537756442975e-15,1.9035377132189354e-16
E,,5,404,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.99994819388941,4.9999865822648575,4.999992328754308,4.999994679939018,4.999996498637361,4.9999985393246,4.999999787525023,4.999993954700057,3.863790749394963e-06
E,,5,404,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.330594931199164e-05,-7.55897556895416e-06,-5.200119273968963e-06,-3.3961333935620774e-06,-1.343995818031198e-06,-1.0837244654717928e-07,-5.933388755625738e-06,3.863623032201673e-06
E,,5,404,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999999865779748,4.999999876119267,4.999999882991494,4.999999887982531,4.99999989319213,4.99999990048769,4.999999914293577,4.999999888088811,7.353880134742904e-09
E,,5,404,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,404,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.156619248491984e-16,8.505672940170103e-16,9.742242560481726e-16,1.088073850241405e-15,1.2201389247061848e-15,1.473311951531657e-15,2.005464358358936e-15,1.1134442798113826e-15,1.9470531593429066e-16
E,,5,505,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.9999481845199165,4.999986585500594,4.999992336265678,4.999994687495379,4.99999649694273,4.999998539448288,4.99999978458257,4.9999939546497245,3.863501456030196e-06
E,,5,505,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.3305949312329155e-05,-7.558975568471995e-06,-5.2001192742100445e-06,-3.3961333935620774e-06,-1.343995818031198e-06,-1.0837244654717928e-07,-5.933388755629759e-06,3.863623032198687e-06
E,,5,505,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999999863507702,4.999999876115204,4.9999998832394015,4.999999888009418,4.999999892969606,4.999999899610104,4.999999910262159,4.999999888038478,7.166962324977301e-09
E,,5,505,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,505,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.095739718770753e-16,8.491707674981865e-16,9.757981027541851e-16,1.081634473481312e-15,1.214649242593477e-15,1.486904201926967e-15,2.0352312620960148e-15,1.1121617008733826e-15,1.940992419661716e-16
E,,5,8128,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999948174945751,4.999986579040002,4.999992331707763,4.999994687539978,4.999996496320864,4.999998542557085,4.999999774941231,4.999993954667473,3.863896992225496e-06
E,,5,8128,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790753483e-05,-1.330594931199164e-05,-7.558975568471995e-06,-5.200119274451126e-06,-3.3961333935620774e-06,-1.3439958176213585e-06,-1.0837244654717928e-07,-5.933388755632663e-06,3.863623032195267e-06
E,,5,8128,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,4.999999856376079,4.999999875790969,4.999999883272189,4.999999888103524,4.999999892966943,4.999999900463668,4.999999913248053,4.999999888056227,7.47444308612997e-09
E,,5,8128,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,5,8128,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,6.750835955539508e-16,8.491966611319279e-16,9.725778273938999e-16,1.0845924071355491e-15,1.2242041923981084e-15,1.4675565158319248e-15,1.994594718199696e-15,1.112140024400387e-15,1.924412764551278e-16
E,,10,101,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.999948360489467,9.999986756351701,9.999992505475825,9.999994864658426,9.999996668474923,9.999998709780145,9.999999955334966,9.999994124971884,3.863648388289133e-06
E,,10,101,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790415964e-05,-1.3305949309701356e-05,-7.558975563891432e-06,-5.200119272040304e-06,-3.3961333915128802e-06,-1.343995817549034e-06,-1.0837244654717928e-07,-5.933388752379506e-06,3.863623031810058e-06
E,,10,101,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.000000027171367,10.000000043242885,10.00000005242495,10.000000058626267,10.000000064270072,10.000000073048703,10.000000092836633,10.000000058360648,9.012451189569434e-09
E,,10,101,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,101,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.880766881569696e-16,1.1040298416862659e-15,1.4531357828127579e-15,1.769582464678466e-15,2.1829722215097075e-15,2.925693352033463e-15,4.437124563684778e-15,1.8606781427678585e-15,5.717577217672456e-16
E,,10,202,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.99994834482213,9.999986750780067,9.999992494627252,9.999994857387982,9.999996664897528,9.999998724197479,9.99999994104625,9.999994125221427,3.8637459344370825e-06
E,,10,202,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790415964e-05,-1.3305949310038871e-05,-7.5589755635298085e-06,-5.200119272281387e-06,-3.396133391030716e-06,-1.3439958176213585e-06,-1.0837244654717928e-07,-5.933388752386656e-06,3.863623031809983e-06
E,,10,202,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.000000030648993,10.000000043482611,10.000000052597565,10.000000058385313,10.000000064874246,10.000000073828815,10.000000087487631,10.000000058610194,9.147070901149761e-09
E,,10,202,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,202,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.898890215638966e-16,1.1047499834597036e-15,1.4419650130158304e-15,1.777554302779437e-15,2.1695088202231335e-15,2.9417977289893956e-15,4.574487933548124e-15,1.8601941111736578e-15,5.735114851728679e-16
E,,10,303,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.999948351665672,9.999986748950707,9.999992491735513,9.999994857709687,9.999996669807125,9.999998707252784,9.999999961097613,9.999994125005852,3.863358339730593e-06
E,,10,303,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1707267903677485e-05,-1.3305949309629031e-05,-7.558975563409267e-06,-5.200119272281387e-06,-3.396133391030716e-06,-1.343995817549034e-06,-1.0837244654717928e-07,-5.933388752392911e-06,3.86362303179514e-06
E,,10,303,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.000000026299317,10.000000042984816,10.000000052548957,10.000000058676873,10.000000064504626,10.0000000732113,10.000000085620634,10.000000058394617,9.073704309404196e-09
E,,10,303,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,303,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.799057626525441e-16,1.1051438148424063e-15,1.4530985082495024e-15,1.774858376963049e-15,2.1598397192714527e-15,2.940844457164384e-15,4.316964001297717e-15,1.8592131660006633e-15,5.676121904549224e-16
E,,10,404,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.999948353258526,9.99998675914385,9.999992502354331,9.999994857260006,9.999996661206191,9.999998718059981,9.999999942682775,9.999994124733904,3.863587610781369e-06
E,,10,404,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1707267905123987e-05,-1.3305949309291516e-05,-7.5589755635298085e-06,-5.200119272040304e-06,-3.3961333913923394e-06,-1.3439958171391948e-06,-1.0837244654717928e-07,-5.9333887523734734e-06,3.863623031822508e-06
E,,10,404,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.00000002584435,10.000000043796152,10.000000052083525,10.000000057839348,10.0000000640212,10.00000007372129,10.000000086694396,10.00000005812267,9.032978077240538e-09
E,,10,404,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,404,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.698426956492469e-16,1.0925787068549434e-15,1.448506243321468e-15,1.7796893822535812e-15,2.1585003527488085e-15,2.9615581401094922e-15,4.456342087473424e-15,1.8614564718126974e-15,5.735610310562224e-16
E,,10,505,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.999948367830715,9.999986747247611,9.999992498790629,9.999994853133616,9.999996665449256,9.999998723527163,9.999999948083143,9.999994125226726,3.863762336408926e-06
E,,10,505,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1707267903677485e-05,-1.330594930977368e-05,-7.558975562324396e-06,-5.200119271799223e-06,-3.396133391030716e-06,-1.343995817549034e-06,-1.0837244654717928e-07,-5.933388752383304e-06,3.863623031804653e-06
E,,10,505,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.00000002750447,10.000000044151497,10.000000052427124,10.000000058313487,10.000000064670182,10.000000073226348,10.000000095244957,10.00000005861549,9.020590001555262e-09
E,,10,505,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,505,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.824955068405828e-16,1.0922964827124766e-15,1.4568132268980773e-15,1.7750915102004357e-15,2.1631308067708113e-15,2.9514493406854917e-15,4.457447578844301e-15,1.8612331414951635e-15,5.712550081383733e-16
E,,10,8128,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,9.999948370871296,9.999986748749018,9.9999924913038,9.999994852996725,9.999996666386384,9.999998706108899,9.999999956664002,9.999994125266651,3.863534949051081e-06
E,,10,8128,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790415964e-05,-1.3305949309701356e-05,-7.558975563770891e-06,-5.200119272040304e-06,-3.396133390910175e-06,-1.3439958170668702e-06,-1.0837244654717928e-07,-5.933388752391571e-06,3.863623031801149e-06
E,,10,8128,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,10.000000028727955,10.000000044019709,10.000000052609796,10.000000058612915,10.000000064675552,10.000000073497334,10.000000086424048,10.000000058655415,8.954409574663264e-09
E,,10,8128,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,10,8128,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,7.807578057038725e-16,1.1098878679296325e-15,1.4428505778539168e-15,1.7756146133894867e-15,2.1634998473534286e-15,2.92665836981616e-15,5.052729370014466e-15,1.8589475187770735e-15,5.687518428651271e-16
I,,0,101,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,1.8458936479861587,1.9391560846765095,1.9982974364308632,2.039227165719325,2.0794867368931174,2.134992646678573,2.256579287891636,2.039019860759711,0.05909128941625391
I,,0,101,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,1.8458936461691042,1.9391560790798001,1.9982974363888455,2.039227168911399,2.079486740398884,2.13499264740085,2.256579287393202,2.039019860592298,0.05909128959224478
I,,0,101,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-2.1670931496185204e-08,-9.149272303425903e-09,-3.4399027728737477e-09,3.0068984031796857e-10,3.882884552135962e-09,9.2032112899578e-09,1.692736651021794e-08,1.6738983449564073e-10,5.5287796292021155e-09
I,,0,101,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
I,,0,101,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,0.3462521400766386,0.36014190616352526,0.36879557957331044,0.3747178844847796,0.38048636542664105,0.38835429941848276,0.4052409348791606,0.37462918735659334,0.008511030013087124
I,,0,202,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,1.8476995093155675,1.9413050147764797,1.9979530898932556,2.0365780314050825,2.0810261234611915,2.136638768933571,2.247085975276546,2.038285114358299,0.06002921127483003
I,,0,202,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,1.8476995055450254,1.941305009754595,1.997953091862769,2.0365780306603,2.0810261313708405,2.1366387704992924,2.247085982341357,2.0382851144808822,0.06002921114596157
I,,0,202,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.95886114535557e-08,-9.572457649219357e-09,-3.764191032527912e-09,-1.2960681691602927e-10,3.541783605285771e-09,8.745688053051967e-09,1.8332682850176148e-08,-1.2260642437296375e-10,5.51745314702611e-09
I,,0,202,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
I,,0,202,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,0.34652439165746346,0.36045805252526264,0.3687460974495143,0.3743351007651345,0.3807057948015065,0.3885855005196359,0.40393914806251635,0.37452154470884413,0.00864339003925693
I,,0,303,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,1.858450085683099,1.9340804510324545,1.9951832216114216,2.037190997357149,2.077674600100171,2.1373899239720373,2.2327501263976597,2.0365470354259783,0.06163203531471801
