case_id,condition,mode,snr_db,noise_seed,n_records,final_input_sha256,expected_input_sha256,final_hash_verified,clean_array_sha256,noise_file_sha256,old_q_noise_mismatch_max_abs_error,old_q_input_mismatch_max_abs_error,old_total_snr_mismatch_max_abs_error,identity_mismatch_max_abs_error
S_04__snr_0__noise_202,S_04,S_04,0,202,2158,acb3e1dc020f2b6379ef63cdc75972488193be9f6335d6963c01d54100be8893,acb3e1dc020f2b6379ef63cdc75972488193be9f6335d6963c01d54100be8893,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,1.1368683772161603e-13
E__snr_0__noise_303,E,,0,303,2158,b857ed34aea876a9ea653fb6930a38eb9b517ecf2c81adc409178a704a80ef37,b857ed34aea876a9ea653fb6930a38eb9b517ecf2c81adc409178a704a80ef37,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,1.9721522630525295e-31,4.235164736271502e-22,9.6432746913423e-16,3.841384116587366e-14
I__snr_0__noise_303,I,,0,303,2158,e7d0b59426ed89bc126f168ab5470e76731871a876717d4759ed05591d438457,e7d0b59426ed89bc126f168ab5470e76731871a876717d4759ed05591d438457,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,e13c17f81e300bd44ea3c63a5dea9cc0f85a750d1d62f947459756db48ed5527,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,7.549516567451064e-14
S_00__snr_0__noise_303,S_00,S_00,0,303,2158,fd433d20cb8bb5b1561e3cc2690233c19cb634445bd5684d427ed37b5f8dbf77,fd433d20cb8bb5b1561e3cc2690233c19cb634445bd5684d427ed37b5f8dbf77,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,9.769962616701378e-14
S_01__snr_0__noise_303,S_01,S_01,0,303,2158,2256b4467948b0a0b9b63b5dd0f3c021dcd8f62f254d5f2cda5b979325a9d4c5,2256b4467948b0a0b9b63b5dd0f3c021dcd8f62f254d5f2cda5b979325a9d4c5,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,6.550315845288424e-14
S_02__snr_0__noise_303,S_02,S_02,0,303,2158,0c1475cb9bdf7baa725feb40b8e11bbbced799a3087f760fb161e6eeaac10d2f,0c1475cb9bdf7baa725feb40b8e11bbbced799a3087f760fb161e6eeaac10d2f,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,8.326672684688674e-17,9.71445146547012e-17,9.6432746913423e-16,5.595524044110789e-14
S_03__snr_0__noise_303,S_03,S_03,0,303,2158,0a5dbfefdf89023f828bb9da523bf17c1024f6ca36de0def26e421b527531de8,0a5dbfefdf89023f828bb9da523bf17c1024f6ca36de0def26e421b527531de8,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,0.0,5.551115123125783e-17,9.6432746913423e-16,1.3145040611561853e-13
S_04__snr_0__noise_303,S_04,S_04,0,303,2158,996b22338e6af6297773acb333db26f96bb80d2ed5404a31fe706eb5c9740477,996b22338e6af6297773acb333db26f96bb80d2ed5404a31fe706eb5c9740477,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,9.681144774731365e-14
E__snr_0__noise_404,E,,0,404,2158,0cbfd65142656d2a4539e8a5e14d4477612faf9c6c24ff0f5d758e573cb0c418,0cbfd65142656d2a4539e8a5e14d4477612faf9c6c24ff0f5d758e573cb0c418,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,9.860761315262648e-32,4.235164736271502e-22,9.6432746913423e-16,4.7362289820439144e-14
I__snr_0__noise_404,I,,0,404,2158,b9685535e0d715ed9954ee60e7ab5fe88109a982718286ff18519e20e4dca459,b9685535e0d715ed9954ee60e7ab5fe88109a982718286ff18519e20e4dca459,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,e82ba1f043d26993e5a48c31e1b3e22b191ea5c1b9a5a16adca120ac5c276797,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,7.638334409421077e-14
S_00__snr_0__noise_404,S_00,S_00,0,404,2158,4e528fa2a3e4d36f95fec6f366ca9be4a3dd927b1662cd5897a3fca3612237d3,4e528fa2a3e4d36f95fec6f366ca9be4a3dd927b1662cd5897a3fca3612237d3,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,1.0080825063596421e-13
S_01__snr_0__noise_404,S_01,S_01,0,404,2158,2d5b4a43a7cfe3291eec467be6e7752537981af714ac9e44c49310918e3495d4,2d5b4a43a7cfe3291eec467be6e7752537981af714ac9e44c49310918e3495d4,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,8.748557434046234e-14
S_02__snr_0__noise_404,S_02,S_02,0,404,2158,ec7a37a084c48127dd766ab0f2a5514c03bac4e7add5633ae53fb080ee3df161,ec7a37a084c48127dd766ab0f2a5514c03bac4e7add5633ae53fb080ee3df161,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,8.326672684688674e-17,9.71445146547012e-17,9.6432746913423e-16,6.084022174945858e-14
S_03__snr_0__noise_404,S_03,S_03,0,404,2158,a7ed9afb43036ca8426e27f9c415d6e83ffe692f9be2f39d14f5630ec85ea304,a7ed9afb43036ca8426e27f9c415d6e83ffe692f9be2f39d14f5630ec85ea304,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,0.0,5.551115123125783e-17,9.6432746913423e-16,1.163513729807164e-13
S_04__snr_0__noise_404,S_04,S_04,0,404,2158,cadb66b021dabaa8bcd58f7061a6088a40fc7a521723b466cc360f63b9af3cb6,cadb66b021dabaa8bcd58f7061a6088a40fc7a521723b466cc360f63b9af3cb6,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,9.281464485866309e-14
E__snr_0__noise_505,E,,0,505,2158,42b6424cc834cef160a7cb3f74c5dfcc17f21eeab757205a60a26c8986fbff79,42b6424cc834cef160a7cb3f74c5dfcc17f21eeab757205a60a26c8986fbff79,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,9.860761315262648e-32,4.235164736271502e-22,9.643274724429524e-16,3.552062395167357e-14
I__snr_0__noise_505,I,,0,505,2158,ce3dcc966a294de3f65ce5c8391a420750abbaa2fd697122f8d6836e7100a9aa,ce3dcc966a294de3f65ce5c8391a420750abbaa2fd697122f8d6836e7100a9aa,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,89dd82d390a27962d3a33da1395e0dd9f6a5907f854c71ebd0f40cfc375c9a99,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,8.08242361927114e-14
S_00__snr_0__noise_505,S_00,S_00,0,505,2158,ae3e295190787e1bd5a143a7eaa8fdce8f11cd42d11a9a3791f5299eeff3701c,ae3e295190787e1bd5a143a7eaa8fdce8f11cd42d11a9a3791f5299eeff3701c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,8.326672684688674e-17,9.643274724429524e-16,9.50350909079134e-14
S_01__snr_0__noise_505,S_01,S_01,0,505,2158,9e9bdcb7613e1993e72746811d7aa1b1523c3c62f5413b995d7fe4a09c4607b9,9e9bdcb7613e1993e72746811d7aa1b1523c3c62f5413b995d7fe4a09c4607b9,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,6.683542608243442e-14
S_02__snr_0__noise_505,S_02,S_02,0,505,2158,e893cadcb9ef1d532d7ad12fb1f73c51d8d4d761210526a198057c5f8f1537b2,e893cadcb9ef1d532d7ad12fb1f73c51d8d4d761210526a198057c5f8f1537b2,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,8.326672684688674e-17,9.71445146547012e-17,9.6432746913423e-16,5.5289106626332796e-14
S_03__snr_0__noise_505,S_03,S_03,0,505,2158,0af5d79b14d7f78bafb7ed96dc03db3a6256b9ab9182abe14ff92f9c44d0576e,0af5d79b14d7f78bafb7ed96dc03db3a6256b9ab9182abe14ff92f9c44d0576e,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,0.0,5.551115123125783e-17,9.643274699614106e-16,1.2034817586936697e-13
S_04__snr_0__noise_505,S_04,S_04,0,505,2158,f8a31c608de4d430c74ced1cdd75f1d6c4e31d19e21e1988440832134d12edc0,f8a31c608de4d430c74ced1cdd75f1d6c4e31d19e21e1988440832134d12edc0,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,1.0080825063596421e-13
E__snr_5__noise_8128,E,,5,8128,2158,a114022f00f77977526a8a7b16dd997e3a58abcbd77c090af1d926369049c636,a114022f00f77977526a8a7b16dd997e3a58abcbd77c090af1d926369049c636,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,3.944304526105059e-31,8.470329472543003e-22,1.7763568394002505e-15,4.973799150320701e-14
I__snr_5__noise_8128,I,,5,8128,2158,9ac7f1df732224f4a0a2fc01ed414b32fdc10d4ec73eead7d7e5fff91a464581,9ac7f1df732224f4a0a2fc01ed414b32fdc10d4ec73eead7d7e5fff91a464581,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,47d294bffcaf6d165841d52ee0d7de1a8f366d5dc3d5ac88dd9cce04bd065b46,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,7.993605777301127e-14
S_00__snr_5__noise_8128,S_00,S_00,5,8128,2158,ee82eeee14bc94ae2d245352f6a09c5cd4f491fd0d22f6a36c057227de67b495,ee82eeee14bc94ae2d245352f6a09c5cd4f491fd0d22f6a36c057227de67b495,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,8.704148513061227e-14
S_01__snr_5__noise_8128,S_01,S_01,5,8128,2158,c8272954b33e2dff3b78c62ffddebcaf5084cec56ceb3573f8807c84573c59f8,c8272954b33e2dff3b78c62ffddebcaf5084cec56ceb3573f8807c84573c59f8,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.549516567451064e-14
S_02__snr_5__noise_8128,S_02,S_02,5,8128,2158,5f102e6e1a44893b0d2a5d9839af5c7ce56803cb4ba830c7d5e171a2f7db9afe,5f102e6e1a44893b0d2a5d9839af5c7ce56803cb4ba830c7d5e171a2f7db9afe,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,8.326672684688674e-17,9.71445146547012e-17,2.6645352591003757e-15,5.861977570020827e-14
S_03__snr_5__noise_8128,S_03,S_03,5,8128,2158,d61624ecf68da033a71fecaa57ab4a3c3d7f02426b68b05c0097ce83b7921f4e,d61624ecf68da033a71fecaa57ab4a3c3d7f02426b68b05c0097ce83b7921f4e,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,0.0,8.326672684688674e-17,2.6645352591003757e-15,1.1901590823981678e-13
S_04__snr_5__noise_8128,S_04,S_04,5,8128,2158,fea77e37ae16ec43e446648650fd66da27ca5f8f74fd608084a41662d4eeca3c,fea77e37ae16ec43e446648650fd66da27ca5f8f74fd608084a41662d4eeca3c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,9.947598300641403e-14
E__snr_5__noise_101,E,,5,101,2158,a9b52831e24c7768419b845bb3083af3c8a16ec5e32b5fdb5b13c78d41daae5a,a9b52831e24c7768419b845bb3083af3c8a16ec5e32b5fdb5b13c78d41daae5a,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,3.944304526105059e-31,1.6940658945086007e-21,2.6645352591003757e-15,5.3290705182007514e-14
I__snr_5__noise_101,I,,5,101,2158,d49ac1d77ee75afd3789bb2ceff039ce8d719c2ca6f6a349c9c17f7098b08599,d49ac1d77ee75afd3789bb2ceff039ce8d719c2ca6f6a349c9c17f7098b08599,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,eb3c3b3ee1ef1b035a150ab29ded1ec2521673be2722203613588abe6cd4787c,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.37188088351104e-14
S_00__snr_5__noise_101,S_00,S_00,5,101,2158,220e36ea2d5ba55aec5527fcad1de662c00e615ace2c96f2dfaa1568f2e29239,220e36ea2d5ba55aec5527fcad1de662c00e615ace2c96f2dfaa1568f2e29239,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0746958878371515e-13
S_01__snr_5__noise_101,S_01,S_01,5,101,2158,1c617233abf5903b44e133e3f2b7a1b85de584c237de5867e6895bd3d9a3b9e4,1c617233abf5903b44e133e3f2b7a1b85de584c237de5867e6895bd3d9a3b9e4,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,8.171241461241152e-14
S_02__snr_5__noise_101,S_02,S_02,5,101,2158,7266ec7b8bf2df1245bc226e6bbb923f158c90a0444d4c318ec7d156ed85c9fe,7266ec7b8bf2df1245bc226e6bbb923f158c90a0444d4c318ec7d156ed85c9fe,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,8.326672684688674e-17,9.71445146547012e-17,2.6645352591003757e-15,7.016609515630989e-14
S_03__snr_5__noise_101,S_03,S_03,5,101,2158,6dfa7072dcf03f17a856da75de3574de9a060b552492c0f5111be0d18e76565a,6dfa7072dcf03f17a856da75de3574de9a060b552492c0f5111be0d18e76565a,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,0.0,8.326672684688674e-17,2.6645352591003757e-15,1.2256862191861728e-13
